NOME_VIA,CIRCOSCRIZ,DENOMINAZI,coordinate_x,coordinate_y
PIAZZALE VENTICINQUE APRILE,3 OVEST,Fontana Piazzale XXV aprile,10.98194034134828,45.43018429524531
VIA MARCANTONIO DELLA TORRE,6 EST,Fontana in pietra di Piazza Cavalleri,11.0297307400429,45.43851161604142
VIA GIUSEPPE CORSO,6 EST,Fontanella impianto sportivo di Via Corso,11.035059934994363,45.461071805957694
CONTRADA CAMPAGNOLA,8 NORD-EST,Fontanella contrada Campagnola,11.036656178784602,45.46784208905929
VIA MONS. GIUSEPPE CARRARO,8 NORD-EST,Fontanella via della Chiesa - Novaglie,11.039246893171924,45.47441783312837
VIA SQUARANTO,8 NORD-EST,Fontanella via Squaranto 49 - Pigozzo,11.060757432577445,45.50299172022122
VIA PUBLIO P. CORNELIANO,8 NORD-EST,Fontanella via Sezano - via Pantheon,11.03404030263716,45.49540930197922
CONTRADA CASAI,8 NORD-EST,Fontanella Contrada Casai,11.037839788602763,45.49682320396517
CONTRADA LUMIALTO,8 NORD-EST,Fontanella contrada Lumialto,11.014114715559746,45.49574011257106
VIA NAZARETH,1 CENTRO STORICO,Fontanella via Fontana del Ferro 13,11.00684610054506,45.450911550326055
PIAZZETTA S. GIORGIO,1 CENTRO STORICO,Fontana P.tta San Giorgio,10.996538312557606,45.449330636209964
PIAZZA PLEBISCITO,2 NORD-OVEST,Fontana Piazza Plebiscito Avesa,10.98958249547843,45.472349506787545
VIA SQUARANTO,8 NORD-EST,Fontanella via Squaranto 29 - Pigozzo,11.05917897149687,45.49500424781436
VIA DELLA COLLINA,8 NORD-EST,Fontanella via Collina 1/A - S. Maria in Stelle,11.034350099379257,45.49645561776125
PIAZZALE DON GIUSEPPE BOSCAINI,8 NORD-EST,Fontanella via Abate Caliari 30 - Poiano,11.013940588643292,45.47399544371677
